ImageName,Frame,Timestamp,x,y,w,h
m (3).jpg,0,2024_06_01_15-27-37.515,60,30,69,60
m (3).jpg,1,2024_06_01_15-27-38.479,440,258,61,42
v (3).jpg,1,2024_06_01_15-27-38.481,276,226,60,38
b (1).jpg,1,2024_06_01_15-27-38.484,142,156,58,36
f (3).jpg,1,2024_06_01_15-27-38.485,276,134,44,42
m (3).jpg,1,2024_06_01_15-27-38.486,58,111,38,52
v (3).jpg,1,2024_06_01_15-27-38.488,481,104,39,55
b (4).jpg,1,2024_06_01_15-27-38.490,247,63,58,37
f (1).jpg,1,2024_06_01_15-27-38.491,380,48,69,38
m (2).jpg,1,2024_06_01_15-27-38.492,66,34,72,42
m (3).jpg,2,2024_06_01_15-27-39.013,434,267,52,33
v (3).jpg,2,2024_06_01_15-27-39.018,270,228,50,36
b (2).jpg,2,2024_06_01_15-27-39.020,130,156,57,36
f (3).jpg,2,2024_06_01_15-27-39.022,280,136,56,41
m (2).jpg,2,2024_06_01_15-27-39.023,484,115,35,56
v (4).jpg,2,2024_06_01_15-27-39.025,62,99,34,57
b (1).jpg,2,2024_06_01_15-27-39.028,260,65,53,33
f (4).jpg,2,2024_06_01_15-27-39.029,398,51,50,33
m (2).jpg,2,2024_06_01_15-27-39.031,82,27,59,45
m (2).jpg,3,2024_06_01_15-27-39.573,394,270,56,34
v (3).jpg,3,2024_06_01_15-27-39.577,226,224,67,44
b (5).jpg,3,2024_06_01_15-27-39.580,97,157,60,43
f (5).jpg,3,2024_06_01_15-27-39.581,312,146,56,38
m (2).jpg,3,2024_06_01_15-27-39.584,484,144,42,61
v (4).jpg,3,2024_06_01_15-27-39.585,64,64,49,60
b (5).jpg,3,2024_06_01_15-27-39.587,288,60,61,44
f (3).jpg,3,2024_06_01_15-27-39.588,434,56,48,46
m (3).jpg,3,2024_06_01_15-27-39.591,112,22,60,36
m (2).jpg,4,2024_06_01_15-27-40.113,362,260,58,36
v (4).jpg,4,2024_06_01_15-27-40.121,193,231,63,41
b (2).jpg,4,2024_06_01_15-27-40.123,483,183,40,53
f (2).jpg,4,2024_06_01_15-27-40.124,352,144,62,36
m (3).jpg,4,2024_06_01_15-27-40.126,67,134,54,50
v (4).jpg,4,2024_06_01_15-27-40.128,458,69,47,58
b (4).jpg,4,2024_06_01_15-27-40.129,327,56,61,40
f (5).jpg,4,2024_06_01_15-27-40.130,84,38,48,58
m (3).jpg,4,2024_06_01_15-27-40.131,149,24,67,40
m (2).jpg,5,2024_06_01_15-27-40.658,332,245,55,47
v (3).jpg,5,2024_06_01_15-27-40.670,160,240,61,39
b (1).jpg,5,2024_06_01_15-27-40.671,464,219,42,49
f (3).jpg,5,2024_06_01_15-27-40.673,384,135,57,35
m (3).jpg,5,2024_06_01_15-27-40.677,481,104,39,56
v (4).jpg,5,2024_06_01_15-27-40.681,56,104,41,62
b (5).jpg,5,2024_06_01_15-27-40.685,359,50,64,39
f (2).jpg,5,2024_06_01_15-27-40.690,180,32,63,41
m (2).jpg,5,2024_06_01_15-27-40.692,109,24,59,47
m (2).jpg,6,2024_06_01_15-27-41.210,126,241,58,35
v (3).jpg,6,2024_06_01_15-27-41.215,438,239,53,54
b (1).jpg,6,2024_06_01_15-27-41.216,293,232,69,40
f (2).jpg,6,2024_06_01_15-27-41.218,488,139,36,53
m (3).jpg,6,2024_06_01_15-27-41.220,416,127,64,41
v (3).jpg,6,2024_06_01_15-27-41.229,52,74,40,53
b (5).jpg,6,2024_06_01_15-27-41.230,399,49,57,34
f (4).jpg,6,2024_06_01_15-27-41.247,213,44,59,44
m (2).jpg,6,2024_06_01_15-27-41.249,140,20,62,39
m (3).jpg,7,2024_06_01_15-27-41.770,404,269,54,34
v (4).jpg,7,2024_06_01_15-27-41.772,264,229,56,35
b (1).jpg,7,2024_06_01_15-27-41.773,100,224,45,48
f (3).jpg,7,2024_06_01_15-27-41.775,480,168,40,62
m (2).jpg,7,2024_06_01_15-27-41.780,455,128,49,48
v (4).jpg,7,2024_06_01_15-27-41.783,244,63,56,39
b (4).jpg,7,2024_06_01_15-27-41.785,435,56,47,48
f (2).jpg,7,2024_06_01_15-27-41.787,60,45,45,52
m (3).jpg,7,2024_06_01_15-27-41.789,177,22,59,45
m (3).jpg,8,2024_06_01_15-27-42.322,368,271,57,33
v (4).jpg,8,2024_06_01_15-27-42.327,230,224,62,41
b (1).jpg,8,2024_06_01_15-27-42.328,78,204,49,52
f (3).jpg,8,2024_06_01_15-27-42.328,469,200,43,59
m (3).jpg,8,2024_06_01_15-27-42.330,476,149,45,68
v (4).jpg,8,2024_06_01_15-27-42.330,456,69,48,60
b (4).jpg,8,2024_06_01_15-27-42.343,280,65,61,36
f (2).jpg,8,2024_06_01_15-27-42.344,206,36,52,45
m (3).jpg,8,2024_06_01_15-27-42.346,80,24,60,46
m (3).jpg,9,2024_06_01_15-27-42.878,337,258,49,40
v (3).jpg,9,2024_06_01_15-27-42.881,448,231,43,51
b (4).jpg,9,2024_06_01_15-27-42.890,199,231,54,41
f (2).jpg,9,2024_06_01_15-27-42.895,488,183,41,58
m (3).jpg,9,2024_06_01_15-27-42.899,61,169,38,53
v (4).jpg,9,2024_06_01_15-27-42.901,480,104,39,56
b (4).jpg,9,2024_06_01_15-27-42.904,316,57,60,37
f (1).jpg,9,2024_06_01_15-27-42.906,232,57,45,54
m (3).jpg,9,2024_06_01_15-27-42.908,112,21,57,39
m (3).jpg,10,2024_06_01_15-27-43.435,408,258,64,44
v (4).jpg,10,2024_06_01_15-27-43.439,165,240,54,36
b (2).jpg,10,2024_06_01_15-27-43.441,312,237,50,49
f (1).jpg,10,2024_06_01_15-27-43.441,482,220,46,52
m (3).jpg,10,2024_06_01_15-27-43.446,488,140,32,52
v (4).jpg,10,2024_06_01_15-27-43.448,56,135,35,53
b (5).jpg,10,2024_06_01_15-27-43.448,245,91,41,53
f (5).jpg,10,2024_06_01_15-27-43.449,351,54,59,37
m (2).jpg,10,2024_06_01_15-27-43.450,150,26,57,37
m (2).jpg,11,2024_06_01_15-27-43.975,383,268,57,39
v (4).jpg,11,2024_06_01_15-27-43.976,457,252,53,44
b (5).jpg,11,2024_06_01_15-27-43.984,127,242,57,35
f (2).jpg,11,2024_06_01_15-27-43.986,304,196,37,56
m (2).jpg,11,2024_06_01_15-27-43.987,482,170,38,54
v (4).jpg,11,2024_06_01_15-27-43.989,259,120,56,50
b (2).jpg,11,2024_06_01_15-27-43.992,61,102,36,54
f (4).jpg,11,2024_06_01_15-27-43.995,380,48,60,40
m (3).jpg,11,2024_06_01_15-27-43.996,181,32,55,40
b (5).jpg,12,2024_06_01_15-27-44.517,423,265,51,35
f (3).jpg,12,2024_06_01_15-27-44.518,344,261,57,43
m (2).jpg,12,2024_06_01_15-27-44.521,88,229,56,41
v (3).jpg,12,2024_06_01_15-27-44.522,468,200,48,65
b (2).jpg,12,2024_06_01_15-27-44.523,286,138,55,86
f (1).jpg,12,2024_06_01_15-27-44.527,68,64,45,59
m (3).jpg,12,2024_06_01_15-27-44.529,416,50,50,46
v (3).jpg,12,2024_06_01_15-27-44.530,211,49,61,36
f (2).jpg,13,2024_06_01_15-27-45.047,387,267,61,38
